 x_t   y_t  con t D_1 D_2 D_3
1 878  6.78  1  1  1   0  0 
2 1005 6.91  1  2  0   1   0 
3 1173 7.07  1  3 0  0   1 
4 883 6.78   1  4  0  0  0 
5 972 6.88   1  5  1  0  0 
6 1125 7.03  1  6  0  1  0 
7 1336 7.20  1  7  0  0  1 
8 988 6.90   1  8  0  0   0 
9 1020 6.93  1  9  1   0  0 
10 1146 7.04 1  10  0  1  0 
11 1400 7.24 1  11  0  0  1 
12 1006 6.91 1  12  0  0  0 
13 1108 7.01 1  13  1  0  0 
14 1288 7.16 1  14  0  1  0 
15 1570 7.36 1  15  0  0  1 
16 1174 7.07 1  16  0  0  0 
17 1227 7.11 1  17  1  0  0 
18 1468 7.29 1  18  0  1  0 
19 1736 7.46 1  19  0  0  1 
20 1283 7.16 1  20  0  0  0 
